,기업명,업력,기업형태,사원수,업종,사업내용,평균연봉,최저연봉,최고연봉,22년 대비 증감률,연봉신뢰도,매출액(2020),매출액(2021),매출액(2022),매출액(2023),영업이익(2020),영업이익(2021),영업이익(2022),영업이익(2023)
823,(주)에이치비테크놀러지,,,,,,,,,,,,,,,,,,
824,(주)엑스페릭스,,,,,,"6,707","3,598","7,691",9.95,낮음,,,,,,,,
825,(주)엑스페릭스,,,,,,"6,707","3,598","7,691",9.95,낮음,,,,,,,,
826,(주)뉴데이소프트,,,,,,"5,360","3,049","7,023",3,"매우
낮음","16억 2,379만원","29억 8,989만원","37억 1,802만원","50억 7,649만원","- 4억 1,774만원","2억 1,530만원","4억 7,655만원","8억 8,223만원"
827,인터콘시스템스(주),,,,,,"5,712","3,204","6,959",3.59,높음,"163억 8,148만원","274억 3,018만원","299억 8,597만원","296억 8,569만원","6억 6,390만원",33억 125만원,"62억 3,586만원","65억 1,931만원"
828,인터콘시스템스(주),,,,,,"5,712","3,204","6,959",3.59,높음,"163억 8,148만원","274억 3,018만원","299억 8,597만원","296억 8,569만원","6억 6,390만원",33억 125만원,"62억 3,586만원","65억 1,931만원"
829,케이웨더(주),,,,,,,,,,,"163억 8,148만원","274억 3,018만원","299억 8,597만원","296억 8,569만원","6억 6,390만원",33억 125만원,"62억 3,586만원","65억 1,931만원"
830,케이웨더(주),,,,,,,,,,,"163억 8,148만원","274억 3,018만원","299억 8,597만원","296억 8,569만원","6억 6,390만원",33억 125만원,"62억 3,586만원","65억 1,931만원"
831,(주)디오에프연구소,,,,,,,,,,,"163억 8,148만원","274억 3,018만원","299억 8,597만원","296억 8,569만원","6억 6,390만원",33억 125만원,"62억 3,586만원","65억 1,931만원"
832,(주)디오에프연구소,,,,,,,,,,,"163억 8,148만원","274억 3,018만원","299억 8,597만원","296억 8,569만원","6억 6,390만원",33억 125만원,"62억 3,586만원","65억 1,931만원"
833,한신정보(주),,,,,,"5,451","3,131","6,931",-11.12,낮음,"68억 1,448만원","60억 8,022만원","85억 3,359만원","68억 9,303만원","1,618만원","- 2,262만원","1억 1,283만원","- 3억 3,488만원"
834,알엔에이애널리틱스(주),,,,,,"8,442","4,409","9,737",2.83,낮음,"51억 5,594만원","52억 1,415만원","47억 2,068만원","66억 9,878만원","16억 5,981만원","13억 3,776만원","1억 2,758만원","18억 1,882만원"
835,(주)노바테크,,,,,,"4,616","2,866","6,363",-1.35,보통,"26억 3,834만원","35억 3,252만원","39억 1,972만원",45억 844만원,"3억 8,181만원","2억 1,219만원","- 2,223만원","8억 5,049만원"
836,(주)노바테크,,,,,,"4,616","2,866","6,363",-1.35,보통,"26억 3,834만원","35억 3,252만원","39억 1,972만원",45억 844만원,"3억 8,181만원","2억 1,219만원","- 2,223만원","8억 5,049만원"
837,(주)스튜디오갈릴레이,,,,,,"5,886","3,347","7,238",4.29,낮음,,,,,,,,
838,티맵모빌리티(주),,,,,,"9,119","4,492","9,636",4.23,높음,,,,,,,,
839,비즈톡(주),,,,,,"4,640","2,880","6,492",1.58,낮음,"149억 2,182만원","152억 8,208만원","150억 2,693만원",170억 845만원,"13억 6,216만원","9억 8,607만원",9억 638만원,"5억 3,416만원"
840,비즈톡(주),,,,,,"4,640","2,880","6,492",1.58,낮음,"149억 2,182만원","152억 8,208만원","150억 2,693만원",170억 845만원,"13억 6,216만원","9억 8,607만원",9억 638만원,"5억 3,416만원"
841,(주) 비스타컴,,,,,,"6,186","3,514","7,333",17.47,낮음,"126억 7,334만원","123억 8,909만원","146억 8,137만원","94억 6,661만원","6억 2,928만원","- 3억 5,594만원","1억 8,308만원","2억 7,245만원"
842,(주)디오에프연구소,,,,,,,,,,,"126억 7,334만원","123억 8,909만원","146억 8,137만원","94억 6,661만원","6억 2,928만원","- 3억 5,594만원","1억 8,308만원","2억 7,245만원"
843,(주)디오에프연구소,,,,,,,,,,,"126억 7,334만원","123억 8,909만원","146억 8,137만원","94억 6,661만원","6억 2,928만원","- 3억 5,594만원","1억 8,308만원","2억 7,245만원"
844,(주)스킨사이언스,,,,,,,,,,,"126억 7,334만원","123억 8,909만원","146억 8,137만원","94억 6,661만원","6억 2,928만원","- 3억 5,594만원","1억 8,308만원","2억 7,245만원"
845,스푼랩스,,,,,,"6,385","3,345","7,714",10.11,보통,,,,,,,,
846,(주)트위니,,,,,,"5,883","3,387","7,037",15.24,높음,,,,,,,,
847,(주)이너버스,,,,,,"5,982","3,393","7,695",2.7,낮음,"37억 9,911만원","39억 3,144만원","40억 7,828만원","38억 6,103만원","- 1억 6,283만원","- 3억 7,407만원","1억 4,747만원","- 1억 2,576만원"
848,(주)이너버스,,,,,,"5,982","3,393","7,695",2.7,낮음,"37억 9,911만원","39억 3,144만원","40억 7,828만원","38억 6,103만원","- 1억 6,283만원","- 3억 7,407만원","1억 4,747만원","- 1억 2,576만원"
849,(주)베스텔라랩,,,,,,"4,753","2,915","6,305",-11.69,낮음,,,,,,,,
850,(주)베스텔라랩,,,,,,"4,753","2,915","6,305",-11.69,낮음,,,,,,,,
851,(주)베스텔라랩,,,,,,"4,753","2,915","6,305",-11.69,낮음,,,,,,,,
852,(주)베스텔라랩,,,,,,"4,753","2,915","6,305",-11.69,낮음,,,,,,,,
853,(주)베스텔라랩,,,,,,"4,753","2,915","6,305",-11.69,낮음,,,,,,,,
854,(주)트위니,,,,,,"5,883","3,387","7,037",15.24,높음,,,,,,,,
855,(주)트위니,,,,,,"5,883","3,387","7,037",15.24,높음,,,,,,,,
856,채비(주),,,,,,"5,043","2,972","6,612",8.36,낮음,"375억 6,941만원","503억 2,769만원","536억 8,705만원","780억 6,785만원","13억 4,937만원","22억 2,193만원","- 138억 8,604만원","- 188억 2,216만원"
857,채비(주),,,,,,"5,043","2,972","6,612",8.36,낮음,"375억 6,941만원","503억 2,769만원","536억 8,705만원","780억 6,785만원","13억 4,937만원","22억 2,193만원","- 138억 8,604만원","- 188억 2,216만원"
858,알에프코어(주),,,,,,"6,533","3,663","7,722",-1.18,보통,,,,,,,,
859,(주)비모소프트,,,,,,"6,533","3,663","7,722",-1.18,보통,,,,,,,,
860,(주)필라넷,,,,,,"5,083","2,995","7,215",2.44,"매우
높음",,,,,,,,
861,(주)알고랩,,,,,,"4,354","2,830","5,786",0.81,"매우
낮음",,,,,,,,
862,(주)스푼랩스,,,,,,"6,385","3,345","7,714",10.11,보통,,,,,,,,
863,(주)필라넷,,,,,,"5,083","2,995","7,215",2.44,"매우
높음",,,,,,,,
864,콘센트릭스서비스코리아(유),,,,,,"5,083","2,995","7,215",2.44,"매우
높음",,,,,,,,
865,(주)플랜아이,,,,,,"4,225","2,814","5,935",-5.63,높음,,,,,,,,
866,(주)플랜아이,,,,,,"4,225","2,814","5,935",-5.63,높음,,,,,,,,
867,주식회사 빅밸류,,,,,,"6,182","3,483","7,837",9.44,낮음,,,,,,,,
868,주식회사 빅밸류,,,,,,"6,182","3,483","7,837",9.44,낮음,,,,,,,,
869,유디에스(주),,,,,,"7,816","4,016","9,226",4.44,낮음,"43억 7,156만원","42억 1,808만원","74억 3,982만원","63억 1,841만원","13억 1,163만원","1억 2,758만원",25억 565만원,"14억 7,548만원"
870,(주)스푼랩스,,,,,,"6,385","3,345","7,714",10.11,보통,,,,,,,,
871,스푼랩스,,,,,,"6,385","3,345","7,714",10.11,보통,,,,,,,,
872,(주)엔젤로보틱스,,,,,,"5,847","3,369","7,046",-,보통,,,,,,,,
873,(주)엔젤로보틱스,,,,,,"5,847","3,369","7,046",-,보통,,,,,,,,
874,(주)엔젤로보틱스,,,,,,"5,847","3,369","7,046",-,보통,,,,,,,,
875,(주)아이비스,,,,,,"7,386","3,710","7,704",19.15,높음,"42억 8,707만원","38억 1,834만원","67억 7,896만원","69억 1,524만원","- 2억 4,485만원","- 9억 4,208만원","3억 2,199만원","- 1억 9,459만원"
876,(주)트릿지,,,,,,"5,538","3,154","7,155",5.33,보통,,,,,,,,
877,(주)플랜아이,,,,,,"4,225","2,814","5,935",-5.63,높음,,,,,,,,
878,(주)의식주컴퍼니,,,,,,"4,331","2,757","5,616",5.27,높음,,,,,,,,
879,(주)효돌,,,,,,"5,812","3,363","7,171",13.87,낮음,"7억 7,120만원","17억 2,533만원","9억 8,964만원","31억 8,053만원","1억 8,308만원","3억 1,732만원","1억 5,486만원","3억 6,496만원"
880,(주)효돌,,,,,,"5,812","3,363","7,171",13.87,낮음,"7억 7,120만원","17억 2,533만원","9억 8,964만원","31억 8,053만원","1억 8,308만원","3억 1,732만원","1억 5,486만원","3억 6,496만원"
881,(주)효돌,,,,,,"5,812","3,363","7,171",13.87,낮음,"7억 7,120만원","17억 2,533만원","9억 8,964만원","31억 8,053만원","1억 8,308만원","3억 1,732만원","1억 5,486만원","3억 6,496만원"
882,(주)네이블,,,,,,"6,620","3,466","7,921",-3.37,"매우
낮음",,,,,,,,
883,베스핀글로벌(주),,,,,,,,,,,,,,,,,,
884,베스핀글로벌(주),,,,,,,,,,,,,,,,,,
885,베스핀글로벌(주),,,,,,,,,,,,,,,,,,
886,(주)네이블,,,,,,"6,620","3,466","7,921",-3.37,"매우
낮음",,,,,,,,
887,(주)코너스톤42,,,,,,"4,568","2,820","6,688",11.93,"매우
낮음","1억 8,723만원","12억 2,320만원",,,"- 9,948만원","2억 1,067만원",,
888,신비앤텍(주),,,,,,"4,826","2,920","6,589",16.99,보통,,,,,,,,
889,베스핀글로벌(주),,,,,,,,,,,,,,,,,,
890,베스핀글로벌(주),,,,,,,,,,,,,,,,,,
891,다올티에스(주),,,,,,"7,211","3,875","8,260",2.1,낮음,"776억 9,467만원","1,604억 7,259만원","2,128억 5,982만원","1,912억 521만원","14억 3,509만원","44억 2,412만원","45억 2,941만원","38억 3,539만원"
892,(주)샘씨엔에스,,,,,,"5,298","3,096","6,452",7.75,높음,,,,,,,,
893,(주)코보시스,,,,,,"6,382","3,474","7,908",19.8,"매우
낮음","28억 9,984만원",30억 988만원,"20억 7,689만원","17억 5,618만원","5억 4,445만원","4억 6,866만원","1억 8,000만원","2억 6,239만원"
894,(주)코보시스,,,,,,"6,382","3,474","7,908",19.8,"매우
낮음","28억 9,984만원",30억 988만원,"20억 7,689만원","17억 5,618만원","5억 4,445만원","4억 6,866만원","1억 8,000만원","2억 6,239만원"
895,신비앤텍(주),,,,,,"4,826","2,920","6,589",16.99,보통,,,,,,,,
896,베스핀글로벌(주),,,,,,,,,,,,,,,,,,
897,베스핀글로벌(주),,,,,,,,,,,,,,,,,,
898,신비앤텍(주),,,,,,"4,826","2,920","6,589",16.99,보통,,,,,,,,
899,(주)시에라베이스,,,,,,"6,077","3,300","7,421",11.46,"매우
낮음",829만원,"5억 8,349만원","9억 5,469만원","18억 5,523만원",324만원,1억 251만원,"1,909만원","4,215만원"
900,(주)시에라베이스,,,,,,"6,077","3,300","7,421",11.46,"매우
낮음",829만원,"5억 8,349만원","9억 5,469만원","18억 5,523만원",324만원,1억 251만원,"1,909만원","4,215만원"
901,(주)파더스랩,,,,,,,,,,,829만원,"5억 8,349만원","9억 5,469만원","18억 5,523만원",324만원,1억 251만원,"1,909만원","4,215만원"
902,(주)설텍,,,,,,"4,555","2,833","6,360",2.45,보통,147억 374만원,"151억 5,138만원","207억 5,489만원","86억 6,000만원","9억 1,677만원","10억 3,000만원","10억 3,813만원",- 18억 728만원
903,(주)설텍,,,,,,"4,555","2,833","6,360",2.45,보통,147억 374만원,"151억 5,138만원","207억 5,489만원","86억 6,000만원","9억 1,677만원","10억 3,000만원","10억 3,813만원",- 18억 728만원
904,(주)파더스랩,,,,,,,,,,,147억 374만원,"151억 5,138만원","207억 5,489만원","86억 6,000만원","9억 1,677만원","10억 3,000만원","10억 3,813만원",- 18억 728만원
905,(주)설텍,,,,,,"4,555","2,833","6,360",2.45,보통,147억 374만원,"151억 5,138만원","207억 5,489만원","86억 6,000만원","9억 1,677만원","10억 3,000만원","10억 3,813만원",- 18억 728만원
906,(주)블루텍,,,,,,"6,361","3,486","7,486",-0.48,"매우
낮음","8억 5,891만원",15억 667만원,"20억 3,044만원","36억 8,639만원","2,148만원","2억 4,475만원","3억 7,602만원",5억 657만원
907,(주)블루텍,,,,,,"6,361","3,486","7,486",-0.48,"매우
낮음","8억 5,891만원",15억 667만원,"20억 3,044만원","36억 8,639만원","2,148만원","2억 4,475만원","3억 7,602만원",5억 657만원
908,(주)블루텍,,,,,,"6,361","3,486","7,486",-0.48,"매우
낮음","8억 5,891만원",15억 667만원,"20억 3,044만원","36억 8,639만원","2,148만원","2억 4,475만원","3억 7,602만원",5억 657만원
909,(주)혜성테크윈,,,,,,"5,004","2,995","6,589",-2.48,낮음,"24억 1,142만원",37억 951만원,"35억 5,757만원","34억 6,878만원","4,626만원","1억 4,498만원","6,188만원","8,487만원"
910,베스핀글로벌(주),,,,,,,,,,,"24억 1,142만원",37억 951만원,"35억 5,757만원","34억 6,878만원","4,626만원","1억 4,498만원","6,188만원","8,487만원"
911,(주)파운트,,,,,,"6,296","3,447","7,276",19.2,보통,,,,,,,,
912,베스핀글로벌(주),,,,,,,,,,,,,,,,,,
913,(주)소프트넷,,,,,,"7,166","3,795","8,232",9.52,높음,,,,,,,,
914,(주)소프트넷,,,,,,"7,166","3,795","8,232",9.52,높음,,,,,,,,
915,(주)옵토전자,,,,,,"6,035","3,383","7,168",3.61,보통,50억 999만원,159억 254만원,"134억 5,613만원","102억 3,053만원","1억 5,109만원","3억 5,389만원","- 11억 2,078만원","- 20억 1,803만원"
916,(주)옵토전자,,,,,,"6,035","3,383","7,168",3.61,보통,50억 999만원,159억 254만원,"134억 5,613만원","102억 3,053만원","1억 5,109만원","3억 5,389만원","- 11억 2,078만원","- 20억 1,803만원"
917,(주)옵토전자,,,,,,"6,035","3,383","7,168",3.61,보통,50억 999만원,159억 254만원,"134억 5,613만원","102억 3,053만원","1억 5,109만원","3억 5,389만원","- 11억 2,078만원","- 20억 1,803만원"
918,(주)옵토전자,,,,,,"6,035","3,383","7,168",3.61,보통,50억 999만원,159억 254만원,"134억 5,613만원","102억 3,053만원","1억 5,109만원","3억 5,389만원","- 11억 2,078만원","- 20억 1,803만원"
919,(주)옵토전자,,,,,,"6,035","3,383","7,168",3.61,보통,50억 999만원,159억 254만원,"134억 5,613만원","102억 3,053만원","1억 5,109만원","3억 5,389만원","- 11억 2,078만원","- 20억 1,803만원"
920,(주)옵토전자,,,,,,"6,035","3,383","7,168",3.61,보통,50억 999만원,159억 254만원,"134억 5,613만원","102억 3,053만원","1억 5,109만원","3억 5,389만원","- 11억 2,078만원","- 20억 1,803만원"
921,(주)파더스랩,,,,,,,,,,,50억 999만원,159억 254만원,"134억 5,613만원","102억 3,053만원","1억 5,109만원","3억 5,389만원","- 11억 2,078만원","- 20억 1,803만원"
922,신비앤텍(주),,,,,,"4,826","2,920","6,589",16.99,보통,,,,,,,,
923,(주)이에스티소프트,,,,,,,,,,,,,,,,,,
924,에이존테크(주),,,,,,,,,,,,,,,,,,
925,(주)블록체인글로벌,,,,,,"7,122","3,633","8,224",7.47,"매우
낮음","7억 3,092만원","4억 1,967만원","6억 1,478만원","13억 9,936만원","2,468만원",508만원,"3,937만원","1억 8,991만원"
926,(주)블록체인글로벌,,,,,,"7,122","3,633","8,224",7.47,"매우
낮음","7억 3,092만원","4억 1,967만원","6억 1,478만원","13억 9,936만원","2,468만원",508만원,"3,937만원","1억 8,991만원"
927,(주)블록체인글로벌,,,,,,"7,122","3,633","8,224",7.47,"매우
낮음","7억 3,092만원","4억 1,967만원","6억 1,478만원","13억 9,936만원","2,468만원",508만원,"3,937만원","1억 8,991만원"
928,다겸(주),,,,,,"5,356","3,083","6,906",18.65,낮음,"10억 5,104만원","30억 7,351만원",,,"- 3,183만원","2억 7,739만원","7억 6,502만원",
929,(주)파더스랩,,,,,,,,,,,"10억 5,104만원","30억 7,351만원",,,"- 3,183만원","2억 7,739만원","7억 6,502만원",
930,(주)삼건이엔씨,,,,,,"5,697","3,237","6,799",11.16,낮음,"23억 4,209만원","34억 4,612만원","48억 8,852만원","56억 3,369만원","1,713만원",- 793만원,"1억 4,257만원",3억 198만원
931,(주)코아아이티,,,,,,"4,506","2,794","6,481",10.14,"매우
낮음",,,,,,,,
932,(주)코아아이티,,,,,,"4,506","2,794","6,481",10.14,"매우
낮음",,,,,,,,
933,세이지(주),,,,,,"8,398","4,033","9,493",5.77,"매우
낮음",,,,,,,,
934,주식회사 몹티콘,,,,,,"4,409","2,787","6,046",10.36,낮음,"10억 8,713만원","18억 2,517만원","12억 3,271만원","14억 6,393만원","- 1억 7,555만원","3,934만원","- 9,736만원",- 2억 257만원
935,세이지(주),,,,,,"8,398","4,033","9,493",5.77,"매우
낮음",,,,,,,,
936,주식회사 프로티나,,,,,,,,,,,,,,,,,,
937,(주)두다지,,,,,,"7,262","3,899","8,506",24.2,낮음,11억 835만원,"10억 8,190만원","13억 5,792만원","16억 4,268만원","2억 3,213만원","2억 2,438만원","6,872만원","- 4억 1,185만원"
938,컴즈(주),,,,,,"3,731","2,602","5,741",1.36,높음,79억 934만원,"119억 1,175만원","146억 7,246만원","164억 2,567만원","10억 6,898만원","16억 8,584만원","13억 3,823만원","13억 8,125만원"
939,컴즈(주),,,,,,"3,731","2,602","5,741",1.36,높음,79억 934만원,"119억 1,175만원","146억 7,246만원","164억 2,567만원","10억 6,898만원","16억 8,584만원","13억 3,823만원","13억 8,125만원"
940,(주)엔에스티정보통신,,,,,,,,,,,79억 934만원,"119억 1,175만원","146억 7,246만원","164억 2,567만원","10억 6,898만원","16억 8,584만원","13억 3,823만원","13억 8,125만원"
941,(주)엔에스티정보통신,,,,,,,,,,,79억 934만원,"119억 1,175만원","146억 7,246만원","164억 2,567만원","10억 6,898만원","16억 8,584만원","13억 3,823만원","13억 8,125만원"
942,(주)엔에스티정보통신,,,,,,,,,,,79억 934만원,"119억 1,175만원","146억 7,246만원","164억 2,567만원","10억 6,898만원","16억 8,584만원","13억 3,823만원","13억 8,125만원"
943,(주)엔에스티정보통신,,,,,,,,,,,79억 934만원,"119억 1,175만원","146억 7,246만원","164억 2,567만원","10억 6,898만원","16억 8,584만원","13억 3,823만원","13억 8,125만원"
944,(주)엔에스티정보통신,,,,,,,,,,,79억 934만원,"119억 1,175만원","146억 7,246만원","164억 2,567만원","10억 6,898만원","16억 8,584만원","13억 3,823만원","13억 8,125만원"
945,(주)엔에스티정보통신,,,,,,,,,,,79억 934만원,"119억 1,175만원","146억 7,246만원","164억 2,567만원","10억 6,898만원","16억 8,584만원","13억 3,823만원","13억 8,125만원"
946,컴즈(주),,,,,,,,,,,,,,,,,,
947,컴즈(주),,,,,,"3,731","2,602","5,741",1.36,높음,79억 934만원,"119억 1,175만원","146억 7,246만원","164억 2,567만원","10억 6,898만원","16억 8,584만원","13억 3,823만원","13억 8,125만원"
948,세이지(주),,,,,,"8,398","4,033","9,493",5.77,"매우
낮음",,,,,,,,
949,(주)블루비즈,,,,,,"5,153","3,043","6,507",4.52,"매우
낮음","43억 1,742만원","34억 3,261만원","30억 5,775만원",17억 404만원,"5억 7,883만원","3,559만원","5,275만원","- 5억 6,017만원"
950,(주)유아이에스,,,,,,,,,,,,,,,,,,
951,(주)엠디에스인텔리전스,,,,,,"6,898","3,458","8,125",14.95,낮음,"114억 1,134만원","297억 3,073만원","317억 4,212만원","230억 2,793만원","18억 4,614만원","50억 9,017만원","58억 4,883만원","25억 4,492만원"
952,주식회사 몹티콘,,,,,,"4,409","2,787","6,046",10.36,낮음,"10억 8,713만원","18억 2,517만원","12억 3,271만원","14억 6,393만원","- 1억 7,555만원","3,934만원","- 9,736만원",- 2억 257만원
953,(주)유로인스트루먼츠,,,,,,,,,,,,,,,,,,
954,(주)코아아이티,,,,,,"4,506","2,794","6,481",10.14,"매우
낮음",,,,,,,,
955,(주)엘핀,,,,,,"4,854","2,917","6,871",1.19,낮음,,,,,,,,
956,(주)웰데이타시스템,,,,,,,,,,,,,,,,,,
957,엔쓰리엔(주),,,,,,"6,135","3,469","7,684",-0.42,높음,,,,,,,,
958,(주)위드네트웍스,,,,,,"4,628","2,875","6,606",-1.8,높음,"405억 4,383만원","424억 3,745만원","373억 3,426만원","259억 9,850만원","8억 1,724만원",11억 256만원,- 11억 98만원,"9,001만원"
959,(주)위드네트웍스,,,,,,"4,628","2,875","6,606",-1.8,높음,"405억 4,383만원","424억 3,745만원","373억 3,426만원","259억 9,850만원","8억 1,724만원",11억 256만원,- 11억 98만원,"9,001만원"
960,(주)위드네트웍스,,,,,,"4,628","2,875","6,606",-1.8,높음,"405억 4,383만원","424억 3,745만원","373억 3,426만원","259억 9,850만원","8억 1,724만원",11억 256만원,- 11억 98만원,"9,001만원"
961,"(주)브레이브모바일(숨고, Soomgo)",,,,,,"5,472","3,079","7,118",4.53,보통,,,,,,,,
962,(주)위드네트웍스,,,,,,"4,628","2,875","6,606",-1.8,높음,"405억 4,383만원","424억 3,745만원","373억 3,426만원","259억 9,850만원","8억 1,724만원",11억 256만원,- 11억 98만원,"9,001만원"
963,"(주)브레이브모바일(숨고, Soomgo)",,,,,,"5,472","3,079","7,118",4.53,보통,,,,,,,,
964,(주)엠디에스인텔리전스,,,,,,"6,898","3,458","8,125",14.95,낮음,"114억 1,134만원","297억 3,073만원","317억 4,212만원","230억 2,793만원","18억 4,614만원","50억 9,017만원","58억 4,883만원","25억 4,492만원"
965,주식회사 패스트뷰,,,,,,"4,545","2,821","6,487",6.47,보통,,,,,,,,
966,주식회사 패스트뷰,,,,,,"4,545","2,821","6,487",6.47,보통,,,,,,,,
967,(주)엘리스,,,,,,,,,,,,,,,,,,
968,(주)에프피에이,,,,,,"6,516","3,650","7,669",8.89,"매우
낮음","75억 4,460만원","35억 5,410만원","43억 4,324만원",112억 646만원,"7억 9,742만원","- 16억 5,456만원","- 24억 9,970만원","3억 3,862만원"
969,(주)메디인테크,,,,,,"5,376","3,117","6,728",13.49,낮음,,,,,,,,
970,(주)마음에이아이,,,,,,"5,400","3,061","7,083",-0.33,보통,,,,,,,,
971,(주)모빅랩,,,,,,"7,647","3,800","8,663",5.68,낮음,,,,,,,,
972,(주)레이언스,,,,,,"5,758","3,513","7,373",-6.07,"매우
높음",,,,,,,,
973,(주)레이언스,,,,,,"5,758","3,513","7,373",-6.07,"매우
높음",,,,,,,,
974,(주)블루타일랩,,,,,,"4,911","2,935","6,903",13.73,낮음,"17억 7,090만원","26억 3,566만원","23억 3,637만원","27억 2,874만원","- 1억 4,800만원","- 1,051만원","- 4억 1,090만원","- 3억 4,308만원"
975,(주)메이아이,,,,,,"6,923","3,469","8,132",29.67,낮음,,,,,,,,
976,(주)콘텐츠브릿지,,,,,,,,,,,,,,,,,,
977,(주)뷰노,,,,,,"8,080","3,929","9,121",-0.98,보통,,,,,,,,
978,알피니언메디칼시스템,,,,,,,,,,,,,,,,,,
979,알피니언메디칼시스템,,,,,,,,,,,,,,,,,,
980,(주)위펀,,,,,,"4,457","2,802","6,423",9.59,보통,,,,,,,,
981,(주)위펀,,,,,,"4,457","2,802","6,423",9.59,보통,,,,,,,,
982,(주)위펀,,,,,,"4,457","2,802","6,423",9.59,보통,,,,,,,,
983,(주)위펀,,,,,,"4,457","2,802","6,423",9.59,보통,,,,,,,,
984,(주)모빅랩,,,,,,"7,647","3,800","8,663",5.68,낮음,,,,,,,,
985,오토엘(주),,,,,,"6,869","3,628","8,046",-0.97,낮음,,,,,,,,
986,(주)에누마코리아,,,,,,,,,,,,,,,,,,
987,굿어스스마트솔루션(주),,,,,,"3,424","2,441","5,884",-26.84,낮음,"166억 5,202만원","130억 1,933만원","95억 4,723만원","210억 5,338만원",6억 85만원,"- 3억 2,952만원","- 17억 1,722만원","13억 1,003만원"
988,(주)레이언스,,,,,,"5,758","3,513","7,373",-6.07,"매우
높음",,,,,,,,
989,(주)와이파워원,,,,,,"7,092","3,919","7,843",7.73,낮음,,,,,,,,
990,(주)와이파워원,,,,,,"7,092","3,919","7,843",7.73,낮음,,,,,,,,
991,팀스파르타(주),,,,,,"4,006","2,572","5,466",2.56,보통,,,,,,,,
992,(주)인이지,,,,,,"5,316","3,038","6,998",19.22,낮음,"2억 4,417만원","6억 3,762만원","8억 4,404만원","12억 5,016만원","8,728만원","1억 2,487만원","- 8억 6,752만원","- 21억 2,920만원"
993,(주)윌로그,,,,,,,,,,,"2억 4,417만원","6억 3,762만원","8억 4,404만원","12억 5,016만원","8,728만원","1억 2,487만원","- 8억 6,752만원","- 21억 2,920만원"
994,(주)윌로그,,,,,,,,,,,"2억 4,417만원","6억 3,762만원","8억 4,404만원","12억 5,016만원","8,728만원","1억 2,487만원","- 8억 6,752만원","- 21억 2,920만원"
995,(주)넥써쓰,,,,,,"5,765","3,265","7,228",20.35,낮음,,,,,,,,
996,(주)레이언스,,,,,,"5,758","3,513","7,373",-6.07,"매우
높음",,,,,,,,
997,(주)레이언스,,,,,,"5,758","3,513","7,373",-6.07,"매우
높음",,,,,,,,
998,(주)세컨신드롬,,,,,,,,,,,,,,,,,,
999,(주)코오롱,,,,,,,,,,,,,,,,,,
1000,(주)아이브,,,,,,"7,704","3,980","8,556",8.05,보통,"4,455만원","4억 5,331만원","40억 1,991만원","61억 4,507만원","- 5억 1,940만원","- 13억 4,120만원","- 32억 8,398만원","- 43억 5,041만원"
1001,(주)아이브,,,,,,"7,704","3,980","8,556",8.05,보통,"4,455만원","4억 5,331만원","40억 1,991만원","61억 4,507만원","- 5억 1,940만원","- 13억 4,120만원","- 32억 8,398만원","- 43억 5,041만원"
1002,포항공대가속기연구소,,,,,,"7,087","3,868","8,080",7.36,낮음,,,,,,,,
1003,(주)아이브,,,,,,"7,704","3,980","8,556",8.05,보통,"4,455만원","4억 5,331만원","40억 1,991만원","61억 4,507만원","- 5억 1,940만원","- 13억 4,120만원","- 32억 8,398만원","- 43억 5,041만원"
1004,(주)메이크인,,,,,,,,,,,"4,455만원","4억 5,331만원","40억 1,991만원","61억 4,507만원","- 5억 1,940만원","- 13억 4,120만원","- 32억 8,398만원","- 43억 5,041만원"
1005,(주)에버트레져,,,,,,"3,650","2,621","5,210",-,"매우
낮음","9,241만원",,,,"- 1억 8,717만원",,,
1006,(주)쓰리아이,,,,,,"7,107","3,627","7,960",13.49,높음,,,,,,,,
1007,(주)로보로보,,,,,,"3,800","2,557","5,584",-5.14,낮음,,,,,,,,
1008,(주)로보로보,,,,,,"3,800","2,557","5,584",-5.14,낮음,,,,,,,,
1009,텔레픽스(주),,,,,,,,,,,,,,,,,,
1010,(주)헬스허브,,,,,,"5,338","3,039","6,970",-2.79,높음,,,,,,,,
1011,(주)퀄리타스반도체,,,,,,,,,,,,,,,,,,
1012,(주)퀄리타스반도체,,,,,,,,,,,,,,,,,,
1013,올제텍(주),,,,,,,,,,,,,,,,,,
1014,(주)휴머스온,,,,,,"5,734","3,179","7,243",3.3,높음,"56억 7,631만원","187억 9,522만원",,,"10억 9,924만원",7억 886만원,,
1015,(주)휴머스온,,,,,,"5,734","3,179","7,243",3.3,높음,"56억 7,631만원","187억 9,522만원",,,"10억 9,924만원",7억 886만원,,
1016,(주)휴머스온,,,,,,"5,734","3,179","7,243",3.3,높음,"56억 7,631만원","187억 9,522만원",,,"10억 9,924만원",7억 886만원,,
1017,(주)비에이치에스티,,,,,,"5,699","3,263","7,152",6.46,"매우
낮음",,,,,,,,
1018,노을(주),,,,,,"7,333","4,013","8,283",26.74,"매우
낮음",,,,,,,,
1019,(주)하이퍼정보,,,,,,"4,582","2,818","6,249",3.52,보통,,,,,,,,
1020,(주)하이퍼정보,,,,,,"4,582","2,818","6,249",3.52,보통,,,,,,,,
1021,에이치원래디오(주),,,,,,"8,154","4,289","9,080",15.5,"매우
낮음","174억 1,491만원",,,,"2억 9,660만원",,,
