인물,대사
유미,뭐?  왜 또 우리집에 갔어!! 내가 그렇게 얘기 했는데!!
유미, 민호 우리집에 혼자 있으면 안돼! 위험해!
범,뭐? 왜?
유미,이유는 묻지 말고 가봐! 서둘러 빨리!!
민호,아!!
민호,아!..
유미아버지, 왜 그렇게 놀라?
민호,그런 칼로 케익자르는건 첨 봐서요.. 케익칼 있는데..
유미아버지,있었어? 어디?
민호,여기 있는데요. 
범,민호야!
범, 야 너 여기서 뭐해? 니네 아빠 부르셔! 빨리 가!
민호,뭐?
범,빨리~ 안녕히 계세요~ 
민호,진짜 아빠 부르셔?
범, 아니 너 위험해! 빨리 가! 
민호,뭐? 왜? 내가 왜 위험한데?
범, 몰라.
민호,뭐?
민호,어 유미야..
범,야 민호 데리고 나왔어! 얘가 왜 위험했던거야?
유미,누가 위험하대?
범,뭐? 니가 그랬잖아. 민호가 위험하다고!
유미,내가 언제? 잘가. 
문희,민용아 문 좀 열어봐~ 너 좋아하는 전복죽이야.
민용, 아 가~ 싫어. 먹기 싫다구~
문희,그럼 계속 그렇게 굶을래?
민용,아 몰라! 내가 안한다 그랬는데 엄마 때문에 괜히~ 다 엄마 때문이야!
문희,하 저...
문희,아들놈 둘이 아주 웬수다 웬수... 저것들을 왜 낳아가지구 이 고생인지..
준하,엄마 뭐하세요?
문희,야 잘왔다. 나 좀 밀어봐 올라가게.
준하,거길 왜 올라시게요?
문희,아 민용이가 화가 나서 문 잠그고 단식투쟁하잖니. 뭐라도 먹여야지.
준하,어이구 그래요? 
문희,더 바짝 밀어.
준하,여보세요? 아 엄마가 봉 타고 올라가신다 그래서 도와주는... 응?  그래~?
문희,야 좀 잘 받쳐~
준하,아 참견하지 마. 내가 알아서 해.  엄마 내려오세요.
문희,뭐?
준하,내려오세요. 자꾸 이러면 민용이 버릇 나빠져요. 
문희, 또 에미냐? 에미랑 통화했냐? 또 에미말에 홀랑 넘어갔냐?
준하,아 참 제 판단이라니까. 엄마 아무래도 이건 아냐~ 내려오세요~
문희,니들 대체 왜 이모양이야 하나같이~ 왜~ 내가 뭘 잘 못 키운거야~ 
준하, 일단 내려오세요 글쎄~
준하,오 창고도 이렇게 꾸며노니까 제법 방 같네.
윤호, 이건 완전히 소방서 봉이네.
준하,밑에서 놀다가 아버지 오시면 휙 올라오고. 야 여기 좋은데?
민용,한번 살아보셔 좋은지.  야 니들 나 이러고 산다고 학교에 소문이나 내지 마. 체면 안 서게.
민호,삼촌 이혼하고 아파트에서 쫓겨난 거 다 알던데?
민용,뭐? 그걸 어떻게 알아? 야 니들..!!
윤호,난 아냐~
민호,나두 아냐. 근데 하여간 소문은 쫙 났어.
문희, 얘들아 밥 먹자~
준하,밥이다~ 
윤호,삼촌 안녕~ 
민호,잘 있어~ 
민용,나도 배고픈데...  근데 어떤 놈이 내 소문을 내고 다녀? 누구야 도대체!
민용,일찍 나오셨네요.
민정,그래. 신지 남편하고 같은 학교라니까. 이민용 선생이라구. 신기하지? 그게 신지가 이혼하면서 위자료로 아파트 받은 걸
교감,야... 이선생 역시 타의 모범이 되는 교사야.. 표창이라도 줘야지. 사생활이 어떻게 그렇게 깔끔할 수가 있나 참.. 
민정, 어머!
민용,하. 누가 소문을 내고 다니나 했더니.. 믿은 제가 빙신이겠죠? 
민정,교감선생님이 들으신거예요? 어머 죄송해요.. 전 아무도 안 듣는 줄 알고~
선생1,잘 지키기는? 회식자리에서 술 먹고 자기 입으로 다 까발려놓구선.
선생2,근데 이선생 부인은 무슨 유학을 간거야?
선생1,모스크바에서 작곡 공부한다 그러던데.
선생2,그 여자 무슨 이상한 CM송 부르고 하는 가수였잖아. 갑자기 왠 작곡?
신지,악상이 안 떠올라... 이렇게 아무것도 안 떠오를수가... 야 신지 너 고작 이거밖에 안되니? 이럴려고 모스크바까지 온거야?
러시아남, 누구야 죽을래!!
신지,하.... 
신지, 왠일이니.. 너무 멋져.. 하.. 
유리, 안녕.
신지, 안녕..
유리, 당신 혹시 한국에서 온 작곡반 학생?
신지,어머 날 알아?  날 어떻게 알아요?
유리, 동양인 학생은 드물잖아요. 게다가 예쁘고 귀여운 여학생은.
신지,하....  어머 쟤 지금 나한테 작업 거는 거야..?
유리, 나는 유리 코스타브로브 스키라고 합니다.
신지, 저는... 
신지,.....아...  신지라고 해요...
유리, 반가워요 신지. 
신지,에...헤.... 
해미,어머님 저 하나 주세요.
문희,됐다. 힘도 못 쓰는 애가. 이거나 들어. 
순재,저 자식은 왜 옥탑방 비울 생각을 안해? 기한이 오늘까진데.
문희,아니 갈 데 없는 아들을 꼭 쫓아내야 속이 시원하시겠수?
순재,꼭 쫓아내야 속이 시원하겠어. 왜?
문희,아이구 난 모르겠다. 가자.
순재,뭘 그렇게 많이 싣구 가? 이거두 들고 가게?
문희,머리에다 올려줘요.
순재,아니 이 무거운 걸..
문희,괜찮아.  준하야 일어나라~
해미,여보 우리 나가~ 역까지 태워준다며.
순재,저... 야 됐다. 저거 깨우느니 내가 데려다줄께. 나가. 
유미,윤호야..
민호, 어? 유미야... 왠일이야? 
유미,안녕. 윤호는?
민호, 나갔는데.. 왜?
유미,뭐 좀 부탁하러..  갈께. 
민호,왜~  나한테 말해. 내가 들어줄게~
유미,됐어.
민호,뭔데? 윤호가 해줄 수 있는거면 나도 해줄 수 있어~ 야 내가 형이구..
유미, 야동 좀 다운받아서 구워줄래?
민호, 야동....? 야동이면 혹 야한 동영상..?
유미,그럼 야구 동영상일까봐?
민호,다운받아줄 순 있지만... 니가 그걸 왜?
유미, 이유까지 말해야 되니?!!
유미, 시험공부에 좀 필요해서 그래.. 부탁해..
민호,시험 공부? 무슨 과목 시험에 야동이 필요..
유미, 넌 뭘 그렇게 맨날 따지니?!!
유미, 됐어 공부해.. 윤호랑 얘기할께.. 
민호, 아 잠깐 잠깐~~ 그래 필요해서 그러겠지. 니가 괜히 그러겠니~ 언제까지 주면 될까~?
순재, 여보세요. 어 윤사장 왠일이슈?  아 그래? 정확한 정보야?
범,아저씨 전화 왔어요. 아저씨. 
범,하... 
준하,응?  에 아버지...
순재, 야! 우리 세운건설 주식 대박났다!
준하,에..?
순재,윤사장이 지금 전화했어. 그러게 팔지 말랬지 내가~ 니 말 들었다가 망할 뻔 했잖아~ 월요일 날 합병 발표 난대~ 하하하~
준하,......
순재,여보세요? 야 듣고 있냐? 왜 대답이 없어?
준하,......
순재,야 너 설마... 판거냐? 너 혹시 팔았어....?
순재,여보세요....?  이 자식이!! 팔았구만!!!
준하,미치겠다 씨... 주문체결됐을텐데... 제발 안됐어라 제발...
범,걔 진짜 이상하다. 무슨 여자애가 뻔뻔하게 야동을 찾아달래?
민호,시험공부하는데 필요하대.
범,야동이 필요한 과목이 세상에 어딨냐?
민호,시끄러. 유미가 필요하다면 필요한거야~
범,너 걔한테 자꾸 말리지마~ 걔 이상한 게 한두가지가 아니야. 걔네 아빠도 그렇고..
민호,이거 다운받으면 되겠다.
범,성인인증 필요한데?
민호,할아버지 카드로 결제해야지..
범,들키면 어떡해?
민호,할아버진 그런거 잘 모르셔.. 어디서 온건지도 모를꺼야... 3..7...
순재,준하 이 망할놈의 자식.. 내 돈을 다 말아먹어 이눔 자식..
순재,야동 방앗간? 이건 뭐야?
순재,어 뭐야? 
순재,이 자식이....?  야 너..!
순재,얌마 거기 안 서!!  이런 이거 이거.....! 너 죽었어! 
순재, 야 임마 거기 서!
준하,전량 체결됐네.. 아 씨..죽었다...
순재,이 자식 어딨어?
순재,야 니들 윤호..  이거 뭐야? 니들 뭘 보고 있는거야?
순재,가만 있어봐 야동방앗간? 니들이 혹시 내 카드로 이거 결제했냐?
순재,이거 맞잖아 이만원...
순재,거기 안서! 
순재, 이 자식들!!
일동, 으아아아~~ 
순재,거기 안서!! 
순재,어 어?  얌마 거기 안 서?!!
순재,얌마!!  이 얍삽한 놈들...진짜.. 
민용,뭐야? 다들 뭐야?
준하,야 문 잠궈!!
순재,안 열어? 이 자식들이... 진짜.... 
윤호,포기하신건가?
민용,뭐야 도대체.. 갑자기 다들 몰려와서는~
민호, 어? 할아버지다!!
순재,이 자식들 니들 아주 한꺼번에 죽었어..
범,사다리 타고 올라와요~
준하,아버지 올라오지 마세요~ 저 책임 못 집니다~
순재, 니들 다 죽었어~
준하,야 흔들어 빨리~
순재, 어 어! 흔들지 마 자식들아!
순재,어어~ 
민용,아버지 괜찮아요?
준하,그러게 올라오지 마시래니까..
윤호,어.. 가시는데요? 포기하셨나봐~
준하,아후..구사일생..
순재,좋아... 해보겠다고.. 
유리, 신지?
신지,아... 하이...  아 또 타이즈 차림이네. 민망하게..
유리, 수업 다 끝났지?
신지, 어...왜요?
유리, 같이 저녁 먹을래요?
신지, 저녁요?
유리," 광장 앞에 한국식당이 있다던데, 같이 가요."
신지, 한국식당.. 아 예.. 
유리, 신지 나한테 뭐 화난거 있어요?
신지, 예? 아뇨..
유리, 근데 왜 날 외면해요?
신지, 예? 아..하.. 
유리, 한국음식 엄청 맵다 그러던데 고추가 많이 들어간다면서요?
신지, 그렇죠..
유리, 고추가 한국어로 뭐예요?
신지,에?  아...고...추..
유리,고추? 고추 고추...
신지, 그만해라...
유리, 신지 고추 좋아해?
신지,에? 
유리, 한국말 쪼끔 배웠어요.  신지 고추 좋아해?
신지,하...  아니 안 좋아해...안 좋아하니까 제발 좀 가려줄래..? 하 씨...
유리, 그럼 교문 앞에서 기다릴게 나와요. 
신지,에....  하..애는 괜찮은데... 저 타이즈땜에 눈을 어디다 둬야될지 모르겠네 정말~
윤호,와 나는 정통으로 할아버지랑 딱 부딪쳤잖아~ 진짜 위기일발~
민용,내려가도 문제야. 형 어떻게 수습할라구.
준하,아 몰라. 일단 당장 화만 가라앉으면 나중에는 어떻게 되겠지..
민호,조용한데 할아버지 나가신거 아닌가?
윤호, 슬슬 나가볼까?
민호,야 밖에서 지키고 계실 지도 몰라~
윤호,설마 한시간이 지났는데..  어?  잠겼어!!
윤호, 안 열려~
민용, 뭐야 이거? 밖에서 걸어잠근 거 같은데?
민호,할아버지가 잠갔나?
준하,뭐야... 아버지 진짜...  에이 씨.. 내려가봐야겠다.
민용,형. 그리 내려가면 잡을라구 아버지가 문 잠그신 거 같은데?
준하,아 나 화장실도 가야 되고 잡히면 좀 맞지 뭐...  아아아아악!!!
일동, 왜 그래?
준하, 으아아아아~
일동,올려 올려~
준하,아아아아아...  아....
일동, 뭐야 도대체? / 뭐야...? 
순재, 잘 들어. 니들은 거기 갇혔다.
일동,에...? 
순재, 니들이 거기 갇혀있어야 되는 이유를 설명해주지.
순재,그리고 니들 전부 사다리를 흔들어서 나를 떨어지게 했으므로 살인미수...
일동, 말도 안돼요~ / 그게 무슨 살인미 수예요~ / 아버지 멀쩡하시잖아요~ / 제가 뭘 어쨌다구요~~
순재,시끄러! 위 죄목으로 앞으로 주말 48시간 동안 감금형에 처하니까 밖으로 한발자국도 나올 생각 마.
일동, 말도 안돼요~ / 이런 법이 어딨어~
민용, 아버지 저는요! 저는 억울해요. 저는 아무짓도 안했는데!
순재,이 자식아. 너는 죄가 젤 커! 방빼란 지 일주일이 지났는데 왜 안 나가?
민용,마땅한 집을 못 구한 걸 어떡해요~
순재,시끄러! 너 때문에 집안에 이런거까지 생겼으니까 넌 종신형두 아까워. 알았어 임마?
민용,하~ 
순재,좀 전에 봤지? 봉 타고 내려오려는 놈은 엉덩이 걸레 될 각오해라.
일동, 이런 법이 어딨어~ / 아버지 너무해요~ / 내려갈래요~ / 할아버지~~
윤호,말도 안돼. 여기서 이틀을~ 죽어도 못해! 난 탈출할꺼야! 
순재, 괘씸한 놈들... 나를 뭘로 보고...
신지, 잠깐만요 책 좀 챙기구..
유리, 천천히 해요.  집이 학교랑 가까워서 편하겠네요.
신지, 네.
유리, 어 형광등이 고장났나봐요?
신지, 아...진짜..
유리, 갈기 힘들텐데 내가 갈아줄까요?
신지, 그럼 고맙지만..
유리, 새 등 좀 갖다줘요.
유리, 의자 좀 잡아줘요.
신지,하...  밖에서두 타이즈를 입어요..?
유리, 다시 연습하러 들어가야 되서요.  받아요.. 
신지, 야... 너 왜 이러니 정말... 이러지 마라...
민용, 야.. 그래봤자 소용없어.. 그게 그런다고 잘 라지냐?
윤호, 왜 안돼. 난 나갈꺼야.. 난 죽어도 이러고 이틀 못 있어..
준하, 에이 씨 도저히 못 참아!!
준하,배고파 죽느니 차라리 맞아 죽겠어! 
민용,형 또 당할라구!
준하,노인네가 아직까지 힘이 남았겠어? 엉덩이 좀 불나고 먹는 게 낫지..  아아아아아아~~ 
일동,영차 영차~
민용,뭐랬어 또 당한댔지.
민호,어 아빠 바지 구멍났어~
윤호,거봐... 차라리 이쪽이 빨라... 
준하, 아버지 정말 너무하는거 아녜요?!! 밥이라도 주셔야죠! 배고파 뒤지겠어요! 감옥도 밥은 주잖아요!
순재, 놀구 있네.
준하,여기 가둬둘 거면 밥이라도 주세요 밥! 밥 주세요 밥!
순재, 조용히 안 해?
준하,밥 주세요 밥. 밥 주세요 밥! 야 니들도 같이 해!
일동,밥 주세요 밥!
일동, 밥 주세요 밥!! 밥 주세요 밥!! 밥 밥 밥!
순재,저것들이 진짜...  이거 먹고 떨어져!
준하, 야 가져와!
범,왜요.. 나도 배고픈데..
준하,안 가져와! 
준하, 이건 니들 먹고.
민호,아~ 아빠. 생양파를 어떻게 먹으라구~
범,아저씨 너무해요~
민용,좀 내놔라 치사하게~
유리, 드라이버.
신지, 안 고쳐줘도 괜찮은데..
유리, 왜요. 계속 삐걱소리 나던데.. 이런건 여자가 못 고쳐요.  장갑 좀 줘요 미끄러워서.
유리, 장갑 어딨어요? 
신지,미치겠다 정말.... 
유리, 여깄구나... 
신지,하... 
준하, 야 임마 그게 간다고 짤라지냐?
윤호, 짤라져요. 두고보세요..
준하,야 설사 짤라져도 여기가 몇층인데 죽을라고..
윤호, 매일 저녁에 재활용쓰레기차 와요. 쓰레기차 위에 떨어지면 괜찮아요..
범,누가 온 거 같은데...?
민호,누구?
범, 야... 나 잘 하면 나갈지도 몰라...
범이조부,이 자식이 내 귀한 손자를 가둬놓고 뭐하는 짓이야?
순재,아야야야야... 걔가 잘못을 워낙 했다구...
범이조부,시끄러 이순재~ 너 많이 컸다~ 어? 우리 범이 당장 안 내놔?
순재,아야야야... 알았어 알았어...
순재, 야 김범!!
범,네?
순재, 특별사면이다 내려와.
범,야 우리 할아버지 드디어 오셨구나~  저 먼저 내려가요.
민호,좋겠다...
범,민호야 잘 버텨... 나 갈께...  안녕...
범, 할아버지~
범이조부, 배고프지? 뭐 먹을래?
범, 피자랑 탕수육이랑 햄버거랑...
범이조부, 그래 그래 다 먹자.
준하, 지금이 기회야 배웅하러 갔을 때 빨리...!
민용,형 무모해!
준하,나도 간다!  아아아아아아아 아~~~
민용,끌어내~ 
윤호,아..쓰레기차 올 시간 다 됐는데.. 하 씨..
민호,야 그만 포기해라 미련한 자식아..
윤호,두고봐 꼭 탈출할꺼야...  저게 뭐야...?
윤호, 잠망경이다! 
순재, 이민호!
민호,예?
순재, 내려와.
민호,예?
민호,내려오라구요? 정말요?
순재, 넌 공부해야되니까 내려와.
민호,아 감사합니다~ 
윤호, 저는요! 저도 공부해야돼요!
순재, 시끄러. 넌 어차피 공부 안하는거 내가 알아! 이민호 빨리 내려와!
순재, 아 시끄럽고!! 이민호 빨리 내려와! 결심 바뀌기 전에!
민호,예! 가요! 나만 가서 미안... 안녕.. 
준하,돌겠다 진짜.. 
윤호, 좋아! 그래 나도 탈출하면 되지! 씨! 
순재,네. 이민용 선생이요? 네 맞는데요.. 학교요?
순재, 야 이민용!
민용, 에?
순재, 너 오늘 학교 숙직이냐?
민용,숙직...?  아 에 맞아요... 오늘인데 참..
순재, 내려와.
민용,지금요?
순재, 학교에서 전화왔다. 빨리 오래. 너 운 좋은 줄 알아.
민용,아 네 네~  햐 왠일이냐 학교가 날 구해주는구나.
준하,너도 가는구나.. 좋겠다..
민용, 미안해 먼저 가서...
준하, 됐어. 난 쟤랑 좀 썩지 뭐.. 어서 가.. 
윤호,짤라졌다!!!!
준하, 뭐?
윤호,짤랐어 아빠! 이제 몸만 빠져나가면 돼!
준하, 너 진짜 죽을라 그래? 여기가 몇층인데..
윤호,괜찮대니까 쓰레기차위에 떨어지면..  어 지나간다!! 
준하,안돼 이 자식아! 
윤호, 아빠 놔요! 난 이렇게 여기 못있어요! 놔요!! 아아!! 
준하,윤호야!!
준하,너 괜찮아?
윤호, 아빠 성공한다 그랬잖아요!! 아빠도 뛰어내려요!
준하, 안돼.. 난 무서워..
윤호,아빠.. 
준하, 잘 가라.. 자식..
준하,..... 
유리, 신지!
신지,아.. 타이즈맨 또 오셨어.. 하...  어 유리..
신지,어머 왜 이래?  왜 그래요?
유리, 보여줄 게 있어요... 잠깐만... 눈 뜨면 안돼요.. 
신지, 그래 차라리 가리니까 맘 편하다..
유리, 하나 둘 셋 하면 눈 떠요... 하나... 둘... 셋!
유리, 발레반 친구들이 도와줬어요. 놀랐죠?
신지, 네 진짜 놀랐네요....
신지, 진짜 놀랍다.. 이젠 아주 떼거지로 타이즈냐?
신지,하..
해미,어머님 이거부터 냉장고에 넣어야겠어요.
문희,아니 이 양반이 여기서 뭐해? 여보? 
순재,뭐야! 
문희,왜 이래?
해미,감옥?
민호, 어. 잠궈놓고 나오지도 못하게 하고 밥도 못 먹게하고.. 아빠는 아직도 거기 있어.
해미,뭐?
해미, 여보 나와~
해미, 여보 괜찮아? 아버님 진짜 너무하시는거 아냐? 도대체 뭘 잘못했길래.. 
준하, 으아아아아~~~~
"친구1,2",어메 어메~ / 세상에~
문희,저 놈 좀 봐. 내가 처음부터 바람 필 줄 알았다니까~
친구1,죽도록 패줘야지 저걸 그냥 놔둬?
친구2,선숙이가 너무 착해. 쯧쯧..
해미, 어머님.
해미,어머 오셨어요.
"친구1,2",아유.. / 잘 있었어요..?
문희,에미야 영기네서 삼계탕 갖고 왔다.
해미,네에 잘 먹겠습니다.  저 이거 좀 볼께요.
문희, 왜? 우리 드라마 보는..
해미, 협회자룐데 지금 봐야돼서요.  어머님 안방에서 보셔도 돼죠?
문희, 니가 들어가서 보지 그러..
해미, 방엔 VTR이 없잖아요.
친구1,아유 난 이집 큰며느리 무서워..
문희,왜 들어가.. 밖에서 봐도 되는데..
친구1,아냐 여기가 편하고 좋네 뭐. 11번 빨리 틀어줘.
민정," James, what is the best way to improve my English?"
민정,"애들아,  집중. 그만들 자. 거기 떠들지 말고~"
학생,싫은데요~
민정,에이. 왜 그래? 니들 자꾸 이러면 선생님 화 낼 거야.
민정,"푸훗. 선생님이 무섭긴 무섭구나. 그렇다고 너무 쫄지마. 자, 다음.."
아이들, 아~~~
민정, 내 발음이 그렇게 대단해?
민정,어? 이선생님.
민용,아.. 수업 중에 죄송합니다.  티비 켠 놈 나와.
민용,누구야?! 안 나와?
민용,어쭈. 니들 다음 시간이 체육시간이지. 신나게 한번 굴러볼까?
민호, 뭐해 윤호야. 선생님이 너 찾으시잖아.
윤호,너..
민호, ....
민용,또 너야? 서선생님. 윤호 좀 잠깐만 빌려갈게요.
민정,아.. 네.
민용,따라와. 얼른. 
민정,와~ 니네 삼촌 되게 무섭다.
친구1,쟤 어쩌면 하는짓이~ 꼭 개성댁 죽은 남편 같지 않아?
친구2,어머 진짜 똑같네 생긴 것도 똑같네 그러고보니까.
친구1,개성댁은 아직두 연락 없어?
문희,2주가 다 되가는데 감감무소식이야.
친구2,개성댁이 아들딸이 있는것도 아니고 어디서 그렇게 오래 눌러있는거야?
해미,어머님 저 나가요. 나오셔서 보세요.
친구1,아유 아녜요. 여기두 편한데 뭐.
해미,아 참 어머님 화분에 또 물 주셨어요?
문희,어? 아침에..
해미, 산세베리아는 물 많이 주면 안된다고 말씀드렸는데.
문희,아니 강생이마냥 비쩍 말라있길..
해미, 물 주실때 꼭 잊지 마세요~  산세베리아는~  보름에 한번씩~ 아셨죠?
해미,그럼 놀다들가세요~ 
"친구1,2", 가요.. / 아유 네..
친구1, 민호엄마는 목소리가 아주 딱 부러져.. 꼭 아나운서 같애...
친구2,그러게 아주 또랑또랑하네...
민정,얘들아 얘들아~ 뭐하는거야~
민정,얘들아~ 얘들아~
민정,지금 노는 시간 아니라 자습시간이잖니. 공부하는 애들한테 방해되잖아. 조금만 조용히 할까?
학생들,싫어요~
민정,에이 조용히 하자~ 근데 왜 자리가 비었어? 없는 애들 누구야? 이윤호?
민호,튀었어요.
민정,튀어? 어디루?
민정,뭐예요?
배달, 저.. 짜장면 배달 왔는데요.
민정,배달이요? 여기 교실이거든요. 누가 배달을 시켰다고..
승현, 여기.
배달,예.
민정,지금 뭐하는 거야? 야 니들은 누구니? 우리반 아니잖아.
찬성,3반에서 왔어요.
민정,3반 애가 왜 여기서 짜장면을 시켜먹어?
승현,우리 담임은 못 시켜먹게 하니까.
민정,나도 시켜먹으라고 허락한 적 없는데~
민정,먹지 말라니까~ 니들은 니네 반으로 가~ 얘들아 좀 조용히 해~ 없는 애들 누구야~
학생1, 아이스 께끼~ 
민정,엄마~ 
문희,열받지 안 받겠냐구? 시에미 친구들 있는데서 며느리란게 말야 내가 아주 얼굴이 화끈거려서 말야..
순재, 쯧쯧쯧쯧...
문희, 나중에 할께.  언제 왔수?
순재,아주 욕이 입에 떴구만.. 맨날 밥먹고 할일없이 며느리 흉보고 앉았나?
문희,모르면 좀 가만있어요. 알지도 못하면서 뭐~
순재,뭘 몰라? 걔가 왜 싹퉁바가지야?
문희, 치. 말해봤자 편 되주지도 않을거면서..  아까 민경이네 와서 드라마 보는데
순재, 그거 협회에서 공문 내려온거라 빨리 보라고 내가 올려보냈어~ 그렇다고 싹퉁바가지야?
문희,말을 얼마나 기분나쁘게 하는데~ 그리고 화분에 물..
순재, 아 시끄러~ 거 할망구들 집에서 하루종일 드라마만 보구 앉았으면서 뭘 또 우리집까지 몰려와서 본다고~
문희, 알았어 알았어. 거봐 또 내가 잘못했지~ 내가 다 잘못했지~ 내가 죽일년이지~ 
순재,저거저거~
해미,어머님 점심 있는 반찬갖고 그냥 먹을까요?
문희,... 
해미,예 어머님?
문희, 니 맘이지 뭐.. 
해미,예?  뭐 좀 할까요?
순재,그냥 있는 걸로 차려라. 간단하게 먹지.
준하,아 배고파.. 우리 고기 남은 거 없나? 여보 저번에 갈빗살 사논 거 다 먹었어?
순재,이건 또 고기 타령이야? 얌마. 대낮부터 무슨 고기야? 고긴!
준하,아버진. 고기 먹는데 밤낮이 따로 있어요? 먹고 싶음 먹는 거지.
순재,너 아침에 뭐 먹었어?
준하,고기요.
순재,어젠?
준하,고기요.
순재, 이게 이게.. 사람이야? 짐승이야? 너 뭐야? 고기한테 무슨 원수진 일 있어?
준하, 됐어요. 안 먹으면 되잖아요 진짜~ 
교감,이선생. 거 나만 너무 챙겨주는 거 아냐?
민용,네? 무슨..?
교감,나 과음하지 말라고 나만 쏙 빼놓고 어제 회식했다며. 젊은 사람이 참 사람이 됐어. 허허.. 사람 참..
민용,교감선생님. 일부러 그런 게 아니구요. 저기..  아씨..
민용,무슨 일 있어요?
민정,아뇨.
민용,무슨 일 있는거 같은데.. 얘기 해봐요.
민정,아무 것도 아니에요.
민용,그럼 말던가요.
민정,저기..
민용,네?
민정,그게.. 선생님 수업 시간에도 애들이 뭐 시켜 먹고 그래요?
민용,"아, 그럴 수 있죠."
민정,정말요?
민용,죽고 싶으면 뭔 짓을 못하겠어요?
민정,아.. 죽고 싶으면..
민용,왜요? 누가 뭐 시켜 먹었어요?
민정,그게.. 저기.. 음..  네.
민용,이 자식들이.. 
민정, 하지 마세요. 제 입장도 있는데..
민용, 그러게 애들한테 너무 잘해주지 마요. 가끔씩 확 잡아줘야지 애들이 말을 듣지
민정,역시 그런 거죠? 
민용,좋댄다.. 넌 사는 게 재밌니?
신지, 누구세요?
유리, 하이 신지~
신지,어 얘가 연락도 없이?  왠일이야?
유리, 결석했다는 소리 듣고 걱정되서 왔어요. 괜찮아요? 
신지, 감기 걸려서..  아 씨 또 타이즈야. 미치겠네 아주.. 너 왜 이러니...
유리, 많이 아픈 줄 알고 연습하다 뛰어왔는데..
신지,괜찮으니까 제발 가라.. 부담스럽다 어?  괜찮으니까 그만 가요.
유리, 이렇게 왔는데 커피라도 한잔 주는게 예의 아니예요?
신지,커피? 그 꼴로 커피까지 마실라구? 그래라 그래.  기다려요.
신지,왜? 가게?
유리, 늦어서 안되겠어요. 나중에 봐요.
신지,아 씨 갈거면 진작 가지. 그래 제발 가라.
유리, 안녕 신지.
신지, 안녕.
순재,찌개가 왜 이렇게 짜?
문희,짜긴 뭐가 짜..
해미, 짜요 어머님. 너무 쫄았나봐요.
순재,짜다니까.
해미,물 좀 붓고 데우시지 그러셨어요. 짠거 안 좋은데.
준하, 엄마 이거 뭐예요? 감잔가?
문희,고구마호박...
준하,고구마호박이 뭐에요?
문희,고구마호박 몰라..? 호박맛 나는 노란 고구마..
해미, 고구마 호박이 아니라 호박 고구마요.
해미,맛있다. 마트 다녀오셨어요?
문희,아니. 영기엄마가 텃밭에서 고구마호박 캐..
해미, 호박 고구마요.
문희,그래 호구마.. 아니.. 
해미, 호구마요? 호박 고구..
문희, 그래 호박 고구마 호박 고구마!!
문희,호!! 박!! 고! 구! 마!!  이제 됐냐? 씨! 
순재,이 할망구가.. 왜 이래 밥상에서? 미쳤어?
문희, 으으..
민정,엄하게. 엄하게. 할 수 있어.
민정,수업종 쳤잖아. 자리에 들어가 앉어.
민정, 못 들었어?! 앉으라고!!
민정, 효과 있어. 효과 있어. 앗싸~  문 닫어!!
학생들,.....
민정,문 닫으라니까 뭐해?
윤호, 어느 문이요...?
민정,어느 문이라니?! 열린 문이 하나밖에 더 있어?!!
윤호,아닌데 두갠데...
민정,뭐?
학생들,킥킥킥...
민호,선생님.. 바지 지퍼가..
민정, 조용히 해! 나도 알고 있어!
범,선생님 얼굴 빨개지셨는데요.
민정,나 원래 얼굴 빨개! 뒷문이나 닫아!
학생1,선생님 뒷문 안 닫혀요.
민정,안 닫히긴 왜 안 닫혀!!
윤호,정말 안 닫혀요~
민정,이것들이 진짜~  니들 정말 혼나야겠구나. 자꾸 수업 지연시키고 그럴래?
민호,선생님 그거 고장났나봐요.
윤호,안 닫힌다 그랬잖아요~ 왜 사람 말을 안 믿으실까.
민정, 사람 불러야겠다.. 기다려! 
민정,뭐야 이게.. 이러면 안되는데...
순재,드디어 아주 노망이 났지?! 어? 노망이 날려면 조용히 나던지 뭐야 도대체? 밥상머리에서 소리를 빽빽지르고~
문희, 당신은 몰라. 당신이 뭘 알아? 당신은 몰라..
순재,모르긴 뭘 몰라? 소갈딱지는 밴댕이속만해가지군 동네 방네 며느리 싹퉁바가지라고 욕이나 하고 다니고~
해미,아버님.
해미,아버님 병원 가세요. 전 어머님이랑 얘기 좀..
순재,그럴래?
해미,어머님 저 싹퉁바가지라고 욕하고 다니세요?
문희,......
해미,왜요? 왜 제가 싹퉁바가지예요?
문희,...잘못했다..
해미,아뇨~ 사과를 듣고싶은게 아니라 정말 궁금해서 그래요. 저는 정말 어머님이 저한테 그렇게 섭섭한게 많으신 줄 몰랐어요.
문희,......무서우니까 그렇지..
해미,제가 무섭다구요? 제가 왜요?
문희, 넌 공부도 많이 했고.. 난 무식하고..
해미, 예? 뭐라구요? 크게 좀 말씀해주실래요?
문희, 아니.. 넌 공부도 많이 했고.. 나는 무식하고.. 망하는 우리집도 니가 와서 살렸고..
해미,무시를 요? 제가 언제 어머님 무시해요? 저 그런적 없어요 어머님.
문희, 무시하면서.. 그래서 너 무서워 난.. 내 친구들도 다 너 무서워서 우리 집에 잘 안올려 그래...
해미,하.. 아닌데.. 오해세요 어머님.. 어머님. 제가 언제 어머님 무시했죠? 정말 몰라서 여쭙는건데
문희,...
